seed,iter,0::2B::0,0::2B::1,0::2T::0,0::2T::1,1::2B::0,1::2B::1,1::2T::0,1::2T::1,2::2B::0,2::2B::1,2::2T::0,2::2T::1
1,100,0.66498,0.33502,0.170114,0.829886,0.66498,0.33502,0.170114,0.829886,0.184135,0.815865,0.540145,0.459855
1,105,0.677302,0.322698,0.168219,0.831781,0.677302,0.322698,0.168219,0.831781,0.194553,0.805447,0.584888,0.415112
1,110,0.70169,0.29831,0.179199,0.820801,0.70169,0.29831,0.179199,0.820801,0.214612,0.785388,0.6023,0.3977
1,115,0.715597,0.284403,0.203721,0.796279,0.715597,0.284403,0.203721,0.796279,0.214612,0.785388,0.634653,0.365347
1,121,0.728599,0.271401,0.247772,0.752228,0.728599,0.271401,0.247772,0.752228,0.226891,0.773109,0.663691,0.336309
1,126,0.733055,0.266945,0.297911,0.702089,0.733055,0.266945,0.297911,0.702089,0.263465,0.736535,0.674777,0.325223
1,132,0.740858,0.259142,0.337751,0.662249,0.740858,0.259142,0.337751,0.662249,0.27397,0.72603,0.695717,0.304283
1,139,0.765789,0.234211,0.34593,0.65407,0.765789,0.234211,0.34593,0.65407,0.304978,0.695022,0.708203,0.291797
1,145,0.770247,0.229753,0.367788,0.632212,0.770247,0.229753,0.367788,0.632212,0.312008,0.687992,0.717852,0.282148
1,152,0.748507,0.251493,0.388233,0.611767,0.748507,0.251493,0.388233,0.611767,0.3043,0.6957,0.72948,0.27052
1,159,0.735628,0.264372,0.401363,0.598637,0.735628,0.264372,0.401363,0.598637,0.298614,0.701386,0.739394,0.260606
1,166,0.690248,0.309752,0.399506,0.600494,0.690248,0.309752,0.399506,0.600494,0.287643,0.712357,0.746366,0.253634
1,174,0.654133,0.345867,0.384678,0.615322,0.654133,0.345867,0.384678,0.615322,0.276633,0.723367,0.762596,0.237404
1,182,0.625965,0.374035,0.373248,0.626752,0.625965,0.374035,0.373248,0.626752,0.263446,0.736554,0.769995,0.230005
1,191,0.609122,0.390878,0.348531,0.651469,0.609122,0.390878,0.348531,0.651469,0.25487,0.74513,0.761065,0.238935
1,200,0.592577,0.407423,0.327088,0.672912,0.592577,0.407423,0.327088,0.672912,0.244268,0.755732,0.741859,0.258141
1,209,0.584599,0.415401,0.307668,0.692332,0.584599,0.415401,0.307668,0.692332,0.23405,0.76595,0.713225,0.286775
1,219,0.595384,0.404616,0.290424,0.709576,0.595384,0.404616,0.290424,0.709576,0.220284,0.779716,0.688195,0.311805
1,230,0.617213,0.382787,0.278595,0.721405,0.617213,0.382787,0.278595,0.721405,0.206529,0.793471,0.6585,0.3415
1,240,0.630416,0.369584,0.267902,0.732098,0.630416,0.369584,0.267902,0.732098,0.200011,0.799989,0.65119,0.34881
1,252,0.651048,0.348952,0.263605,0.736395,0.651048,0.348952,0.263605,0.736395,0.22889,0.77111,0.64657,0.35343
1,264,0.662054,0.337946,0.273895,0.726105,0.662054,0.337946,0.273895,0.726105,0.271265,0.728735,0.6523,0.3477
1,276,0.672661,0.327339,0.304487,0.695513,0.672661,0.327339,0.304487,0.695513,0.314972,0.685028,0.664211,0.335789
1,289,0.69235,0.30765,0.32476,0.67524,0.69235,0.30765,0.32476,0.67524,0.351075,0.648925,0.676381,0.323619
1,302,0.701985,0.298015,0.350372,0.649628,0.701985,0.298015,0.350372,0.649628,0.371576,0.628424,0.683934,0.316066
1,317,0.715239,0.284761,0.347566,0.652434,0.715239,0.284761,0.347566,0.652434,0.402849,0.597151,0.669794,0.330206
1,332,0.722463,0.277537,0.331916,0.668084,0.722463,0.277537,0.331916,0.668084,0.394443,0.605557,0.654826,0.345174
1,347,0.731878,0.268122,0.314313,0.685687,0.731878,0.268122,0.314313,0.685687,0.370482,0.629518,0.630825,0.369175
1,364,0.748031,0.251969,0.303498,0.696502,0.748031,0.251969,0.303498,0.696502,0.351686,0.648314,0.606989,0.393011
1,381,0.759406,0.240594,0.290829,0.709171,0.759406,0.240594,0.290829,0.709171,0.336962,0.663038,0.578225,0.421775
1,399,0.765549,0.234451,0.278325,0.721675,0.765549,0.234451,0.278325,0.721675,0.347402,0.652598,0.563078,0.436922
1,417,0.765995,0.234005,0.268342,0.731658,0.765995,0.234005,0.268342,0.731658,0.368431,0.631569,0.562194,0.437806
1,437,0.760613,0.239387,0.251935,0.748065,0.760613,0.239387,0.251935,0.748065,0.393182,0.606818,0.577258,0.422742
1,458,0.748285,0.251715,0.238777,0.761223,0.748285,0.251715,0.238777,0.761223,0.411307,0.588693,0.601133,0.398867
1,479,0.744243,0.255757,0.224362,0.775638,0.744243,0.255757,0.224362,0.775638,0.441004,0.558996,0.602506,0.397494
1,502,0.753611,0.246389,0.217086,0.782914,0.753611,0.246389,0.217086,0.782914,0.465383,0.534617,0.573529,0.426471
1,525,0.764334,0.235666,0.227225,0.772775,0.764334,0.235666,0.227225,0.772775,0.471358,0.528642,0.543447,0.456553
