seed,iter,0::0b::0,0::0b::1,0::0p::0,0::0p::1,0::1b::0,0::1b::1,0::1p::0,0::1p::1,0::2b::0,0::2b::1,0::2p::0,0::2p::1,1::0b::0,1::0b::1,1::0p::0,1::0p::1,1::1b::0,1::1b::1,1::1p::0,1::1p::1,1::2b::0,1::2b::1,1::2p::0,1::2p::1,2::0b::0,2::0b::1,2::0p::0,2::0p::1,2::1b::0,2::1b::1,2::1p::0,2::1p::1,2::2b::0,2::2b::1,2::2p::0,2::2p::1,3::0b::0,3::0b::1,3::0p::0,3::0p::1,3::1b::0,3::1b::1,3::1p::0,3::1p::1,3::2b::0,3::2b::1,3::2p::0,3::2p::1
1,100,2.82013e-05,0.999972,0.5,0.5,0.0138532,0.986147,0.325,0.675,0,1,0.5,0.5,0.104591,0.895409,0.0274706,0.972529,0.0129444,0.987056,0.492593,0.507407,0.460758,0.539242,0.759925,0.240075,0.291214,0.708786,0.0344593,0.965541,0.0187304,0.98127,0.5,0.5,0.920858,0.0791424,0.946127,0.0538725,0.290575,0.709425,0.150643,0.849357,0.235855,0.764145,0,1,0.914219,0.0857814,0,1
1,105,2.74391e-05,0.999973,0.5,0.5,0.0131605,0.98684,0.325,0.675,0,1,0.5,0.5,0.103755,0.896245,0.0274706,0.972529,0.0120618,0.987938,0.492593,0.507407,0.460758,0.539242,0.759925,0.240075,0.290612,0.709388,0.0344593,0.965541,0.0163891,0.983611,0.5,0.5,0.920858,0.0791424,0.946127,0.0538725,0.286008,0.713992,0.140143,0.859857,0.215044,0.784956,0,1,0.904086,0.0959136,0,1
1,110,2.60319e-05,0.999974,0.5,0.5,0.0128395,0.98716,0.325,0.675,0,1,0.5,0.5,0.102861,0.897139,0.0274706,0.972529,0.0115374,0.988463,0.492593,0.507407,0.45879,0.54121,0.785061,0.214939,0.288713,0.711287,0.0398405,0.96016,0.015425,0.984575,0.5,0.5,0.918538,0.0814619,0.946127,0.0538725,0.283115,0.716885,0.140143,0.859857,0.215044,0.784956,0,1,0.853793,0.146207,0,1
1,115,2.53811e-05,0.999975,0.5,0.5,0.0119641,0.988036,0.325,0.675,0,1,0.5,0.5,0.102861,0.897139,0.0274706,0.972529,0.010831,0.989169,0.492593,0.507407,0.454714,0.545286,0.785061,0.214939,0.287925,0.712075,0.0398405,0.96016,0.0145681,0.985432,0.5,0.5,0.913797,0.0862034,0.946127,0.0538725,0.284506,0.715494,0.119521,0.880479,0.203097,0.796903,0,1,0.827514,0.172486,0,1
1,121,2.30738e-05,0.999977,0.5,0.5,0.0116982,0.988302,0.325,0.675,0,1,0.5,0.5,0.101832,0.898168,0.0274706,0.972529,0.0104063,0.989594,0.492593,0.507407,0.451086,0.548914,0.799779,0.200221,0.284783,0.715217,0.0398405,0.96016,0.0138014,0.986199,0.5,0.5,0.913797,0.0862034,0.946127,0.0538725,0.271621,0.728379,0.0953846,0.904615,0.197608,0.802392,0,1,0.817062,0.182938,0,1
1,126,2.30738e-05,0.999977,0.5,0.5,0.0112004,0.9888,0.325,0.675,0,1,0.5,0.5,0.101259,0.898741,0.0274706,0.972529,0.00982813,0.990172,0.492593,0.507407,0.449521,0.550479,0.799779,0.200221,0.283124,0.716876,0.0407769,0.959223,0.0134475,0.986553,0.5,0.5,0.909174,0.0908256,0.938543,0.0614571,0.270841,0.729159,0.0953846,0.904615,0.187474,0.812526,0,1,0.807655,0.192345,0,1
1,132,2.20706e-05,0.999978,0.5,0.5,0.0107433,0.989257,0.325,0.675,0,1,0.5,0.5,0.0999263,0.900074,0.0274706,0.972529,0.00947713,0.990523,0.492593,0.507407,0.448145,0.551855,0.803186,0.196814,0.281593,0.718407,0.0407769,0.959223,0.0131113,0.986889,0.5,0.5,0.90318,0.0968202,0.933352,0.0666485,0.272692,0.727308,0.0953846,0.904615,0.207051,0.792949,0.0935708,0.906429,0.803296,0.196704,0,1
1,139,2.07193e-05,0.999979,0.5,0.5,0.0101235,0.989877,0.325,0.675,0,1,0.5,0.5,0.0988132,0.901187,0.0274706,0.972529,0.00899524,0.991005,0.492593,0.507407,0.446532,0.553468,0.805357,0.194643,0.280736,0.719264,0.0407769,0.959223,0.0119194,0.988081,0.5,0.5,0.899506,0.100494,0.924031,0.075969,0.270437,0.729563,0.0953846,0.904615,0.209292,0.790708,0.0935708,0.906429,0.794105,0.205895,0,1
1,145,1.9524e-05,0.99998,0.5,0.5,0.00993245,0.990068,0.325,0.675,0,1,0.5,0.5,0.0971878,0.902812,0.0274706,0.972529,0.00884532,0.991155,0.492593,0.507407,0.443591,0.556409,0.805357,0.194643,0.278179,0.721821,0.0431801,0.95682,0.0114011,0.988599,0.5,0.5,0.897527,0.102473,0.924031,0.075969,0.266522,0.733478,0.0953846,0.904615,0.219356,0.780644,0.0935708,0.906429,0.768504,0.231496,0,1
1,152,1.88008e-05,0.999981,0.5,0.5,0.00923544,0.990765,0.325,0.675,0,1,0.5,0.5,0.0958961,0.904104,0.0274706,0.972529,0.00855998,0.99144,0.492593,0.507407,0.438637,0.561363,0.805357,0.194643,0.275222,0.724778,0.046486,0.953514,0.0107031,0.989297,0.5,0.5,0.895518,0.104482,0.92006,0.0799401,0.26635,0.73365,0.0953846,0.904615,0.226619,0.773381,0.0935708,0.906429,0.748624,0.251376,0,1
